date,country,cumulative_cases,recovered,deaths,current_cases,days_in_country
2020-01-22,US,1,0,0,1,1
2020-01-23,US,1,0,0,1,2
2020-01-24,US,2,0,0,2,3
2020-01-25,US,2,0,0,2,4
2020-01-26,US,5,0,0,5,5
2020-01-27,US,5,0,0,5,6
2020-01-28,US,5,0,0,5,7
2020-01-29,US,5,0,0,5,8
2020-01-30,US,5,0,0,5,9
2020-01-31,US,6,0,0,6,10
2020-02-01,US,8,0,0,8,11
2020-02-02,US,8,0,0,8,12
2020-02-03,US,11,0,0,11,13
2020-02-04,US,11,0,0,11,14
2020-02-05,US,12,0,0,12,15
2020-02-06,US,12,0,0,12,16
2020-02-07,US,12,0,0,12,17
2020-02-08,US,12,0,0,12,18
2020-02-09,US,12,3,0,9,19
2020-02-10,US,12,3,0,9,20
2020-02-11,US,13,3,0,10,21
2020-02-12,US,13,3,0,10,22
2020-02-13,US,15,3,0,12,23
2020-02-14,US,15,3,0,12,24
2020-02-15,US,15,3,0,12,25
2020-02-16,US,15,3,0,12,26
2020-02-17,US,15,3,0,12,27
2020-02-18,US,15,3,0,12,28
2020-02-19,US,15,3,0,12,29
2020-02-20,US,15,3,0,12,30
2020-02-21,US,35,5,0,30,31
2020-02-22,US,35,5,0,30,32
2020-02-23,US,35,5,0,30,33
2020-02-24,US,53,5,0,48,34
2020-02-25,US,53,6,0,47,35
2020-02-26,US,59,6,0,53,36
2020-02-27,US,60,6,0,54,37
2020-02-28,US,62,7,0,55,38
2020-02-29,US,70,7,1,62,39
2020-03-01,US,76,7,1,68,40
2020-03-02,US,101,7,6,88,41
2020-03-03,US,122,8,7,107,42
2020-03-04,US,153,8,11,134,43
2020-03-05,US,221,8,12,201,44
2020-03-06,US,278,8,14,256,45
2020-03-07,US,417,8,17,392,46
2020-03-08,US,537,8,21,508,47
2020-03-09,US,605,8,22,575,48
2020-03-10,US,959,8,28,923,49
2020-03-11,US,1281,8,36,1237,50
2020-03-12,US,1663,12,40,1611,51
2020-03-13,US,2179,12,47,2120,52
2020-03-14,US,2726,12,54,2660,53
2020-03-15,US,3499,12,63,3424,54
2020-03-16,US,4632,17,85,4530,55
2020-03-17,US,6421,17,108,6296,56
2020-03-18,US,7786,106,118,7562,57
2020-03-19,US,13680,108,200,13372,58
2020-03-20,US,19101,147,244,18710,59
2020-03-21,US,25514,171,307,25036,60
2020-03-22,US,33848,0,427,33421,61
2020-03-23,US,43663,0,552,43111,62
2020-03-24,US,53736,348,706,52682,63
2020-03-25,US,65778,361,942,64475,64
2020-03-26,US,83836,681,1209,81946,65
2020-03-27,US,101657,869,1581,99207,66
2020-03-28,US,121465,1072,2026,118367,67
2020-03-29,US,140909,2665,2467,135777,68
2020-03-30,US,161831,5644,2978,153209,69
2020-03-31,US,188172,7024,3873,177275,70
2020-04-01,US,213372,8474,4757,200141,71
2020-04-02,US,243599,9001,5926,228672,72
2020-04-03,US,275586,9707,7087,258792,73
2020-04-04,US,308853,14652,8407,285794,74
2020-04-05,US,337072,17448,9619,310005,75
2020-04-06,US,366667,19581,10783,336303,76
2020-04-07,US,396223,21763,12722,361738,77
2020-04-08,US,429052,23559,14695,390798,78
2020-04-09,US,461437,25410,16478,419549,79
2020-04-10,US,496535,28790,18586,449159,80
2020-04-11,US,526396,31270,20462,474664,81
2020-04-12,US,555313,32988,22019,500306,82
2020-04-13,US,580619,43482,23528,513609,83
2020-04-14,US,607670,47763,25831,534076,84
2020-04-15,US,636350,52096,28325,555929,85
2020-04-16,US,667801,54703,32916,580182,86
2020-04-17,US,699706,58545,36773,604388,87
2020-04-18,US,732197,64840,38664,628693,88
2020-04-19,US,759086,70337,40661,648088,89
2020-04-20,US,784326,72329,42094,669903,90
2020-04-21,US,811865,75204,44444,692217,91
2020-04-22,US,840220,77366,46622,716232,92
2020-04-23,US,869170,80203,49954,739013,93
2020-04-24,US,905333,99079,51949,754305,94
2020-04-25,US,938154,100372,53755,784027,95
2020-04-26,US,965783,106988,54881,803914,96
2020-04-27,US,988090,111424,56259,820407,97
2020-04-28,US,1012582,115936,58355,838291,98
2020-04-29,US,1039909,120720,60967,858222,99
2020-04-30,US,1069424,153947,62996,852481,100
2020-05-01,US,1103461,164015,64943,874503,101
2020-05-02,US,1132539,175382,66369,890788,102
2020-05-03,US,1158040,180152,67682,910206,103
2020-05-04,US,1180375,187180,68922,924273,104
2020-05-05,US,1204351,189791,71064,943496,105
2020-05-06,US,1228603,189910,73431,965262,106
2020-05-07,US,1257023,195036,75662,986325,107
2020-05-08,US,1283929,198993,77180,1007756,108
2020-05-09,US,1309550,212534,78795,1018221,109
2020-05-10,US,1329260,216169,79526,1033565,110
2020-05-11,US,1347881,232733,80682,1034466,111
2020-05-12,US,1369574,230287,82376,1056911,112
2020-05-13,US,1390406,243430,84119,1062857,113
2020-05-14,US,1417774,246414,85898,1085462,114
2020-05-15,US,1442824,250747,87530,1104547,115
2020-05-16,US,1467820,268376,88754,1110690,116
2020-05-17,US,1486757,272265,89562,1124930,117
2020-05-18,US,1508308,283178,90347,1134783,118
2020-05-19,US,1528568,289392,91921,1147255,119
